e,r,r
1257,-7,-56
1258,-106,-57
1259,-33,-82
1260,-94,-45
1261,-11,-60
1262,-21,-70
1263,-19,-68
1264,-99,-50
1265,-11,-60
1266,-82,-33
1267,-73,-24
1268,-12,-61
1269,-56,-7
1270,-16,-65
1271,-82,-33
1272,-53,-4
1273,-75,-26
1274,-91,-42
1275,-38,-87
1276,-69,-20
1277,-12,-61
1278,-25,-74
1279,-71,-22
1280,-8,-57
1281,-31,-80
1282,-88,-39
1283,-4,-53
1284,-61,-12
1285,-36,-85
1286,-67,-18
1287,-92,-43
1288,-60,-11
1289,-24,-73
1290,-60,-11
1291,-56,-7
1292,-55,-6
1293,-41,-90
1294,-64,-15
1295,-77,-28
1296,-10,-59
1297,-15,-64
1298,-6,-55
1299,-6,-55
1300,-72,-23
1301,-4,-53
1302,-26,-75
1303,-84,-35
1304,-28,-77
1305,-73,-24
1306,-58,-9
1307,-61,-12
1308,-8,-57
1309,-15,-64
1310,-63,-14
1311,-33,-82
1312,-62,-13
1313,-75,-26
1314,-13,-62
1315,-55,-104
1316,-58,-9
1317,-84,-35
1318,-70,-21
1319,-19,-68
1320,-63,-14
1321,-64,-15
1322,-59,-108
1323,-10,-59
1324,-5,-54
1325,-55,-6
1326,-94,-45
1327,-41,-90
1328,-76,-27
1329,-16,-65
1330,-68,-117
1331,-4,-53
1332,-27,-76
1333,-57,-8
1334,-61,-110
1335,-10,-59
1336,-77,-28
1337,-17,-66
1338,-15,-64
1339,-20,-69
1340,-19,-68
1341,-67,-18
1342,-10,-59
1343,-15,-64
1344,-65,-16
1345,-13,-62
1346,-70,-21
1347,-22,-71
1348,-38,-87
1349,-72,-23
1350,-9,-58
1351,-55,-6
1352,-24,-73
1353,-26,-75
1354,-7,-56
1355,-69,-20
1356,-6,-55
1357,-55,-6
1358,-76,-125
1359,-33,-82
1360,-54,-103
1361,-84,-35
1362,-34,-83
1363,-97,-48
1364,-6,-55
1365,-9,-58
1366,-67,-18
1367,-17,-66
1368,-70,-21
1369,-19,-68
1370,-15,-64
1371,-61,-12
1372,-11,-60
1373,-64,-15
1374,-21,-70
1375,-77,-28
1376,-83,-34
1377,-61,-12
1378,-114,-65
1379,-54,-5
1380,-67,-18
1381,-62,-13
1382,-59,-10
1383,-59,-10
1384,-7,-56
1385,-76,-27
1386,-11,-60
1387,-70,-21
1388,-77,-28
1389,-18,-67
1390,-20,-69
1391,-16,-65
1392,-75,-26
1393,-56,-7
1394,-70,-21
1395,-28,-77
1396,-27,-76
1397,-20,-69
1398,-4,-53
1399,-72,-23
1400,-8,-57
1401,-8,-57
1402,-99,-50
1403,-18,-67
1404,-70,-21
1405,-21,-70
1406,-39,-88
1407,-22,-71
1408,-14,-63
1409,-55,-6
1410,-29,-78
1411,-67,-18
1412,-5,-54
1413,-15,-64
1414,-16,-65
1415,-147,-98
1416,-89,-40
1417,-102,-53
1418,-85,-36
1419,-6,-55
1420,-56,-7
1421,-92,-43
1422,-10,-59
1423,-8,-57
1424,-50,-99
1425,-27,-76
1426,-67,-18
1427,-8,-57
1428,-15,-64
1429,-11,-60
1430,-19,-68
1431,-11,-60
1432,-10,-59
1433,-78,-29
1434,-96,-47
1435,-20,-69
1436,-60,-11
1437,-21,-70
1438,-9,-58
1439,-28,-77
1440,-5,-54
1441,-9,-58
1442,-10,-59
1443,-15,-64
1444,-107,-58
1445,-13,-62
1446,-8,-57
1447,-80,-31
1448,-91,-42
1449,-8,-57
1450,-14,-63
1451,-59,-10
1452,-62,-13
1453,-64,-15
1454,-40,-89
1455,-14,-63
1456,-57,-8
1457,-37,-86
1458,-68,-19
1459,-8,-57
1460,-28,-77
1461,-115,-66
1462,-21,-70
1463,-58,-9
1464,-18,-67
1465,-8,-57
1466,-64,-113
1467,-9,-58
1468,-27,-76
1469,-62,-13
1470,-8,-57
1471,-26,-75
1472,-18,-67
1473,-81,-32
1474,-109,-60
1475,-110,-61
1476,-12,-61
1477,-65,-16
1478,-63,-14
1479,-16,-65
1480,-12,-61
1481,-21,-70
1482,-12,-61
1483,-73,-73
1484,-27,-76
1485,-66,-17
1486,-11,-60
1487,-37,-86
1488,-18,-67
1489,-6,-55
1490,-12,-61
1491,-14,-63
1492,-67,-18
1493,-14,-63
1494,-68,-68
1495,-16,-65
1496,-69,-118
1497,-72,-23
1498,-36,-85
1499,-59,-10
1500,-69,-20
1501,-9,-58
1502,-17,-66
1503,-19,-68
1504,-49,-98
1505,-69,-20
1506,-74,-25
1507,-8,-57
1508,-9,-58
1509,-64,-15
1510,-54,-5
1511,-38,-87
1512,-59,-10
1513,-29,-78
1514,-76,-27
1515,-16,-65
1516,-13,-62
1517,-9,-58
1518,-5,-54
1519,-72,-23
1520,-82,-33
1521,-9,-58
1522,-36,-85
1523,-21,-70
1524,-19,-68
1525,-13,-62
1526,-14,-63
1527,-66,-17
1528,-94,-45
1529,-63,-14
1530,-7,-56
1531,-29,-78
1532,-56,-7
1533,-93,-44
1534,-14,-63
1535,-79,-30
1536,-66,-115
1537,-14,-63
1538,-21,-70
1539,-21,-70
1540,-63,-14
1541,-9,-58
1542,-19,-68
1543,-67,-18
1544,-63,-14
1545,-21,-70
1546,-9,-58
1547,-52,-101
1548,-64,-15
1549,-14,-63
1550,-6,-55
1551,-13,-62
1552,-68,-19
1553,-11,-60
1554,-54,-5
1555,-25,-74
1556,-60,-11
1557,-57,-8
1558,-10,-59
1559,-18,-67
1560,-9,-58
1561,-6,-55
1562,-35,-84
1563,-64,-15
1564,-16,-65
1565,-14,-63
1566,-26,-75
1567,-81,-32
1568,-60,-11
1569,-18,-67
1570,-28,-77
1571,-55,-6
1572,-54,-5
1573,-10,-59
1574,-19,-68
1575,-71,-22
1576,-18,-67
1577,-92,-43
1578,-9,-58
1579,-56,-7
1580,-62,-13
1581,-62,-13
1582,-22,-71
1583,-16,-65
1584,-5,-54
1585,-21,-70
1586,-10,-59
1587,-22,-71
1588,-8,-57
1589,-66,-17
1590,-21,-70
1591,-16,-65
1592,-58,-9
1593,-23,-72
1594,-66,-17
1595,-14,-63
1596,-14,-63
1597,-10,-59
1598,-37,-86
1599,-90,-41
1600,-35,-84
1601,-24,-73
1602,-17,-66
1603,-6,-55
1604,-57,-8
1605,-47,-96
1606,-33,-82
1607,-21,-70
1608,-6,-55
1609,-49,-98
1610,-90,-41
1611,-14,-63
1612,-5,-54
1613,-64,-15
1614,-55,-6
1615,-73,-24
1616,-17,-66
1617,-56,-7
1618,-13,-62
1619,-11,-60
1620,-65,-16
1621,-67,-18
1622,-11,-60
1623,-68,-19
1624,-7,-56
1625,-58,-9
1626,-52,-101
1627,-69,-20
1628,-13,-62
1629,-26,-75
1630,-79,-30
1631,-16,-65
1632,-28,-77
1633,-20,-69
1634,-27,-76
1635,-66,-17
1636,-70,-21
1637,-26,-75
1638,-67,-18
1639,-56,-7
1640,-26,-75
1641,-43,-92
1642,-10,-59
1643,-51,-100
1644,-8,-57
1645,-60,-11
1646,-41,-90
1647,-20,-69
1648,-65,-16
1649,-69,-20
1650,-6,-55
1651,-22,-71
1652,-25,-74
1653,-64,-15
1654,-15,-64
1655,-16,-65
1656,-97,-48
1657,-5,-54
1658,-13,-62
1659,-31,-80
1660,-16,-65
1661,-4,-53
1662,-94,-45
1663,-27,-76
